#;NAME;RAJ;DECJ;F0;F1;DIST;EDOT;
;;(hms);(dms);(Hz);(s^-2);(kpc);(ergs/s);
2032;B1900+05;19:02:42.6;+05:56:25.9;1.339446;-2.310e-14;3.60;1.22e+33;
2033;B1900+06;19:02:50.2;+06:16:33.4;1.484774;-1.700e-14;7.00;9.97e+32;
2034;J1902+0723;19:02:13.5;+07:23:51;2.049967;-8.825e-16;3.33;7.14e+31;
2035;J1902-10;19:02:18;-10:39:33;1.270971;*;3.15;*;
2036;J1902-5105;19:02:02.8;-51:05:56.9;573.921045;-3.030e-15;2.10;6.87e+34;
2037;J1902-70;19:02;-70;277.777778;*;1.12;*;
2038;B1900+01;19:03:29.9;+01:35:38.3;1.371171;-7.583e-15;3.30;4.10e+32;
2039;J1903-0258;19:03:30.3;-02:58:15.6;3.317203;-7.473e-15;3.10;9.79e+32;
2040;J1903+0327;19:03:05.7;+03:27:19.2;465.135238;-4.072e-15;6.45;7.48e+34;
2041;J1903+0415;19:03;+04:15;0.868515;*;9.65;*;
2042;J1903+0601;19:03:20.8;+06:01:34.0;2.672960;-1.372e-13;7.84;1.45e+34;
2043;B1900-06;19:03:37.9;-06:32:21.9;2.315420;-1.824e-14;8.77;1.67e+33;
2044;J1903-0848;19:03:11.2;-08:48:57.4;1.126983;-1.689e-15;2.32;7.52e+31;
2045;J1903+0925;19:03:55.1;+09:25:55;2.799906;-2.893e-13;4.17;3.20e+34;
2046;J1903+2225;19:03:52.9;+22:25:12.3;1.535661;-1.049e-15;7.86;6.36e+31;
2047;J1903-7051;19:03:38.7;-70:51:43.4;277.940062;-8.060e-16;1.13;8.84e+33;
2048;J1904+0004;19:04:12.7;+00:04:05.3;7.167193;-6.064e-15;6.43;1.72e+33;
2049;J1904-0150;19:04:55.5;-01:50:32.5;2.635830;-6.182e-15;4.93;6.43e+32;
2050;J1904+0412;19:04:31.3;+04:12:05.9;14.065707;-2.176e-17;4.01;1.21e+31;
2051;J1904+0451;19:04:59.3;+04:51:54.9;164.139791;-1.540e-16;3.96;9.98e+32;
2052;J1904+0738;19:04:07.5;+07:38:51.6;4.785643;-9.411e-15;5.86;1.78e+33;
2053;J1904+0800;19:04:03.5;+08:00:52.6;3.797304;-2.497e-13;9.20;3.74e+34;
2054;B1901+10;19:04:02.4;+10:11:34.6;0.538628;-8.007e-17;4.03;1.70e+30;
2055;J1904-1224;19:04:33.2;-12:24:01.3;1.331898;-1.317e-15;5.63;6.92e+31;
2056;J1904-16;19:04:45;-16:24:47;0.648929;*;9.86;*;
2057;B1902-01;19:05:27.7;-00:56:40.9;1.554772;-7.377e-15;6.91;4.53e+32;
2058;J1905+0154A;19:05:15.4;+01:54:33;313.190897;*;14.45;*;
2059;J1905+0400;19:05:28.2;+04:00:10.8;264.242346;-3.425e-16;1.33;3.57e+33;
2060;J1905+0600;19:05:04.3;+06:00:59.9;2.266496;-5.714e-15;18.06;5.11e+32;
2061;J1905+0616;19:05:06.8;+06:16:16.7;1.010401;-1.381e-13;5.24;5.51e+33;
2062;B1903+07;19:05:53.6;+07:09:19.4;1.543114;-1.177e-14;4.98;7.17e+32;
2063;J1905+0902;19:05:19.5;+09:02:32.4;4.581840;-7.345e-14;9.14;1.33e+34;
2064;J1906+0055;19:06;+00:55;358.422939;*;3.30;*;
2065;J1906+0414;19:06:57.7;+04:14:29.4;0.958440;-1.053e-14;9.21;3.98e+32;
2066;B1904+06;19:06:35.2;+06:41:02.9;3.741465;-2.990e-14;7.00;4.42e+33;
2067;J1906+0649;19:06:11.9;+06:49:48.1;0.777264;-9.200e-17;5.07;2.82e+30;
2068;J1906+0722;19:06:31.2;+07:22:55.8;8.966669;-2.885e-12;*;1.02e+36;
2069;J1906+0725;19:06;+07:25;0.650826;*;9.17;*;
2070;J1906+0746;19:06:48.8;+07:46:25.9;6.940918;-9.764e-13;7.40;2.68e+35;
2071;J1906+0912;19:06:28.4;+09:12:56.6;1.289749;-2.200e-16;5.63;1.12e+31;
2072;J1906+1854;19:06:44.7;+18:54:08.5;0.981265;-1.978e-16;11.06;7.66e+30;
2073;J1907+0249;19:07:42.0;+02:49:41;2.841882;-9.170e-15;7.49;1.03e+33;
2074;J1907+0256;19:07;+02:56;1.616109;*;6.68;*;
2075;J1907+0345;19:07:14.5;+03:45:10.6;4.164008;-1.426e-13;8.62;2.34e+34;
2076;J1907+05;19:07;+05:00;5.928385;*;11.03;*;
2077;J1907+0534;19:07:23.3;+05:34:53;0.878424;-2.430e-15;11.94;8.43e+31;
2078;J1907+0602;19:07:54.7;+06:02:16.9;9.377982;-7.636e-12;3.01;2.83e+36;
2079;J1907+0731;19:07:54.7;+07:31:21.9;2.749698;-1.392e-13;4.89;1.51e+34;
2080;J1907+0740;19:07:44.1;+07:40:22.6;1.740044;-2.033e-15;6.84;1.40e+32;
2081;J1907+0918;19:07:22.4;+09:18:30.7;4.422683;-1.844e-12;7.68;3.22e+35;
2082;J1907+0919;19:07:14.3;+09:19:20.1;0.192369;-3.405e-12;*;2.59e+34;
2083;J1907+1149;19:07:37.7;+11:49:37.1;0.704146;-7.923e-14;5.28;2.20e+33;
2084;B1904+12;19:07:10.7;+12:47:35.9;1.209047;-2.848e-15;7.18;1.36e+32;
2085;J1907-1532;19:07:06.7;-15:32:14.9;1.581690;-7.715e-15;3.09;4.82e+32;
2086;B1905+39;19:07:34.6;+40:02:05.7;0.809220;-3.541e-16;1.76;1.13e+31;
2087;J1908+0457;19:08:16.1;+04:57:41;1.180926;-1.367e-15;9.30;6.37e+31;
2088;J1908+0500;19:08:05.1;+05:00:54.4;3.436181;-3.053e-14;4.43;4.14e+33;
2089;J1908+0734;19:08:17.0;+07:34:14.3;4.709147;-1.829e-14;0.58;3.40e+33;
2090;J1908+0839;19:08:18.5;+08:39:59.2;5.393823;-6.943e-14;9.42;1.48e+34;
2091;J1908+0909;19:08:07.4;+09:09:12.4;2.971286;-3.079e-13;8.81;3.61e+34;
2092;B1906+09;19:08:58.7;+09:16:14;1.204428;-1.422e-16;5.17;6.76e+30;
2093;J1908+2351;19:08:31.9;+23:51:41.9;2.648459;-1.192e-16;6.63;1.25e+31;
2094;B1907+00;19:09:35.2;+00:07:57.7;0.983334;-5.336e-15;3.26;2.07e+32;
2095;B1907+02;19:09:38.3;+02:54:50.6;1.010273;-5.639e-15;4.50;2.25e+32;
2096;J1909+0616;19:09:51.2;+06:16:51.8;1.322764;-3.601e-14;8.59;1.88e+33;
2097;J1909+0641;19:09:29.0;+06:41:25.8;1.348141;-5.859e-15;1.86;3.12e+32;
2098;J1909+0749;19:09:08.2;+07:49:32;4.216540;-2.701e-12;10.84;4.50e+35;
2099;J1909+0912;19:09:19.9;+09:12:53.7;4.485325;-7.203e-13;8.20;1.28e+35;
2100;B1907+10;19:09:48.6;+11:02:03.3;3.525579;-3.281e-14;4.80;4.57e+33;
2101;J1909+1148;19:09;+11:48;2.227420;*;5.18;*;
2102;J1909+1450;19:09:26.9;+14:50:58;1.003907;-2.207e-16;4.94;8.75e+30;
2103;J1909+1859;19:09:18.6;+18:59:10.7;1.843484;-3.296e-16;3.40;2.40e+31;
2104;J1909-3744;19:09:47.4;-37:44:14.4;339.315687;-1.615e-15;1.14;2.16e+34;
2105;J1910-0112;19:10:15.7;-01:12:06;0.734968;-9.600e-17;6.44;2.79e+30;
2106;J1910+0225;19:10:10.3;+02:25:23.6;2.959851;-2.298e-15;6.33;2.69e+32;
2107;B1907-03;19:10:29.6;-03:09:54.1;1.981750;-8.590e-15;10.25;6.72e+32;
2108;B1907+03;19:10:09.0;+03:58:28.0;0.429136;-8.234e-16;2.95;1.39e+31;
2109;J1910+0534;19:10:26.5;+05:34:09;2.208152;-9.380e-15;15.39;8.18e+32;
2110;J1910+0714;19:10:18.5;+07:14:11.8;0.368674;-8.321e-16;3.60;1.21e+31;
2111;J1910+0728;19:10:22.0;+07:28:37.0;3.072996;-7.844e-14;6.04;9.52e+33;
2112;J1910+1027;19:10;+10:27;1.881574;*;19.20;*;
2113;B1907+12;19:10:13.5;+12:31:40.2;0.693606;-3.959e-15;6.47;1.08e+32;
2114;J1910+1256;19:10:09.7;+12:56:25.4;200.658805;-3.900e-16;1.95;3.09e+33;
2115;J1910-5959A;19:11:42.7;-59:58:26.9;306.167446;-2.763e-16;4.55;3.34e+33;
2116;J1910-5959B;19:10:52.0;-59:59:00.8;119.648733;1.132e-14;2.15;*;
2117;J1910-5959C;19:11:05.5;-60:00:59.7;189.489871;-7.756e-17;2.16;5.80e+32;
2118;J1910-5959D;19:10:52.4;-59:59:05.4;110.677192;-1.181e-14;2.15;5.16e+34;
2119;J1910-5959E;19:10:52.1;-59:59:02.0;218.733858;2.078e-14;2.16;*;
2120;J1911+00;19:11:48;+00:37;0.144092;*;3.14;*;
2121;B1908+00A;19:11:11.0;+01:02:09.7;276.355755;5.025e-16;9.50;*;
2122;J1911+0101B;19:11:12.5;+01:01:50.4;185.724277;6.899e-17;9.50;*;
2123;J1911+09;19:11;+09:00;3.653502;*;6.88;*;
2124;J1911+10;19:11;+10:00;5.238619;*;8.19;*;
2125;J1911-1114;19:11:49.2;-11:14:22.3;275.805343;-1.077e-15;1.59;1.17e+34;
2126;J1911+1347;19:11:55.2;+13:47:34.4;216.171231;-8.000e-16;1.60;6.83e+33;
2127;J1911+1758;19:11:55.3;+17:58:45.7;2.171997;-6.180e-17;2.54;5.30e+30;
2128;B1910+10;19:12:46.3;+10:36:41.6;2.442900;-9.406e-14;4.23;9.07e+33;
2129;B1910+20;19:12:43.3;+21:04:33.8;0.447834;-2.041e-15;4.84;3.61e+31;
2130;J1912+2525;19:12:18.6;+25:25:02.1;1.607778;-5.816e-16;2.02;3.69e+31;
2131;B1911-04;19:13:54.1;-04:40:47.6;1.210748;-5.963e-15;3.22;2.85e+32;
2132;J1913+0446;19:13:50.8;+04:46:06;0.618762;-1.068e-13;3.41;2.61e+33;
2133;J1913+0617;19:13;+06:17;198.807157;*;3.97;*;
2134;J1913+0832;19:13:00.5;+08:32:05.1;7.439978;-2.529e-13;7.76;7.43e+34;
2135;J1913+0904;19:13:21.0;+09:04:45.4;6.125732;-6.611e-13;3.49;1.60e+35;
2136;B1911+09;19:13:52.7;+09:36:41.8;0.805176;-2.801e-16;4.22;8.90e+30;
2137;J1913+1000;19:13:03.5;+10:00:02.4;1.194532;-2.388e-14;7.89;1.13e+33;
2138;J1913+1011;19:13:20.3;+10:11:22.9;27.848472;-2.612e-12;4.48;2.87e+36;
2139;J1913+1103;19:13;+11:03;1.082357;*;12.69;*;
2140;J1913+1145;19:13:43.8;+11:45:33.1;3.267241;-5.355e-14;15.06;6.91e+33;
2141;J1913+1330;19:13:17.9;+13:30:32.8;1.082965;-1.018e-14;5.35;4.35e+32;
2142;B1911+13;19:13:24.3;+14:00:52.7;1.917646;-2.955e-15;5.07;2.24e+32;
2143;J1913+3732;19:13:27.8;+37:32:12.3;1.174979;-1.904e-15;5.50;8.83e+31;
2144;J1914+0219;19:14:23.7;+02:19:47.8;2.185665;-4.864e-15;9.77;4.20e+32;
2145;J1914+0631;19:14:17.2;+06:31:56.3;1.441314;-6.900e-17;2.68;3.93e+30;
2146;J1914+0659;19:14;+06:59;54.024851;*;5.26;*;
2147;B1911+11;19:14:10.1;+11:22:03.7;1.663900;-1.815e-15;3.80;1.19e+32;
2148;J1915+0227;19:15:02.1;+02:27:47.7;3.151530;-2.969e-15;7.01;3.69e+32;
2149;J1915+0738;19:15:24.8;+07:38:31.4;0.648212;-1.389e-15;1.98;3.55e+31;
2150;J1915+0752;19:15:01.9;+07:52:09.2;0.485835;-3.281e-17;3.56;6.29e+29;
2151;J1915+0838;19:15:13.8;+08:38:59.7;2.917350;-1.337e-14;8.12;1.54e+33;
2152;B1913+10;19:15:29.9;+10:09:43.6;2.471898;-9.322e-14;7.00;9.10e+33;
2153;J1915-11;19:15;-11:30;0.459348;*;4.76;*;
2154;J1915+1144;19:15;+11:44;5.758710;*;6.90;*;
2155;J1915+1149;19:15;+11:49;9.996002;*;18.89;*;
2156;J1915+1410;19:15:35.4;+14:10:51.5;3.361411;-5.530e-16;7.76;7.34e+31;
2157;B1913+16;19:15:27.9;+16:06:27.3;16.940538;-2.476e-15;7.13;1.66e+33;
2158;B1913+167;19:15:19.1;+16:47:08.5;0.618723;-1.552e-16;3.16;3.79e+30;
2159;J1916+0748;19:16:51.5;+07:48:00;1.845863;-3.648e-14;8.24;2.66e+33;
2160;J1916+0844;19:16:19.0;+08:44:07.0;2.272752;-1.498e-14;7.98;1.34e+33;
2161;J1916+0852;19:16:24.6;+08:52:36;0.458139;-2.750e-15;6.98;4.97e+31;
2162;B1914+09;19:16:32.3;+09:51:25.9;3.700217;-3.448e-14;2.88;5.04e+33;
2163;J1916+1023;19:16:36.9;+10:23:03;0.617918;-2.600e-16;6.93;6.34e+30;
2164;B1913+105;19:16:11.7;+10:30:53.4;1.589902;-8.594e-17;7.55;5.39e+30;
2165;J1916+1225;19:16:20.0;+12:25:53.9;4.397779;-4.536e-13;6.19;7.87e+34;
2166;B1914+13;19:16:58.6;+13:12:50.0;3.548082;-4.594e-14;4.50;6.43e+33;
2167;J1917+0834;19:17:48.8;+08:34:54.6;0.469557;-3.857e-15;1.51;7.15e+31;
2168;B1915+13;19:17:39.7;+13:53:56.9;5.137928;-1.900e-13;5.00;3.85e+34;
2169;J1917+1737;19:17:23.9;+17:37:31.6;2.987525;-2.892e-15;10.21;3.41e+32;
2170;B1915+22;19:17:44.2;+22:22:48.8;2.347984;-1.579e-14;8.04;1.46e+33;
2171;J1918-0642;19:18:48.0;-06:42:34.8;130.789514;-4.395e-16;0.91;2.27e+33;
2172;J1918-1052;19:18:48.2;-10:52:46.3;1.252046;-1.356e-15;2.78;6.70e+31;
2173;J1918+1310;19:18;+13:10;1.167215;*;6.31;*;
2174;B1916+14;19:18:23.6;+14:45:06.0;0.846723;-1.523e-13;1.41;5.09e+33;
2175;J1918+1541;19:18:07.7;+15:41:15.2;2.696268;-1.849e-14;0.68;1.97e+33;
2176;B1917+00;19:19:50.6;+00:21:39.8;0.786003;-4.738e-15;3.32;1.47e+32;
2177;J1919+0134;19:19:43.6;+01:34:56.5;0.623448;-2.289e-16;10.23;5.63e+30;
2178;J1919+1314;19:19:32.9;+13:14:37.3;1.750088;-1.160e-14;20.84;8.02e+32;
2179;J1919+1645;19:19:09.2;+16:45:22.7;1.776862;-6.823e-16;9.56;4.79e+31;
2180;J1919+1745;19:19:43.3;+17:45:03.7;0.480459;-3.936e-16;6.86;7.47e+30;
2181;J1920-09;19:20:49;-09:46:27;0.963391;*;5.75;*;
2182;J1920+1040;19:20:55.3;+10:40:31;0.451304;-1.319e-15;7.19;2.35e+31;
2183;J1920+1110;19:20:13.3;+11:10:59;1.961223;-6.000e-16;5.01;4.65e+31;
2184;B1918+26;19:20:38.3;+26:50:38.4;1.273039;-5.568e-17;1.46;2.80e+30;
2185;J1921+0812;19:21:47.7;+08:12:51.8;4.747247;-1.209e-13;3.47;2.27e+34;
2186;B1919+14;19:21:24.1;+14:19:17.1;1.617645;-1.466e-14;4.08;9.36e+32;
2187;J1921+1544;19:21:46.4;+15:44:17.4;6.964968;-4.756e-14;15.10;1.31e+34;
2188;J1921+16;19:21;+16:00;1.067885;*;8.34;*;
2189;B1918+19;19:21:03.7;+19:48:44.7;1.217975;-1.328e-15;8.15;6.39e+31;
2190;B1919+20;19:21:51.5;+20:03:20.8;1.314611;-8.641e-17;5.16;4.48e+30;
2191;B1919+21;19:21:44.8;+21:53:02.2;0.747774;-7.539e-16;0.30;2.23e+31;
2192;J1921+42;19:21:56;+42:25;1.680105;*;3.47;*;
2193;J1922+1733;19:22:53.2;+17:33:23.4;4.234222;-2.400e-13;10.00;4.01e+34;
2194;B1920+20;19:22:08.0;+20:17:57.3;0.852687;-4.717e-16;10.74;1.59e+31;
2195;B1920+21;19:22:53.5;+21:10:41.9;0.927709;-7.040e-15;4.00;2.58e+32;
2196;J1922+58;19:22;+58:28;1.888136;*;5.38;*;
2197;B1921+17;19:23:07.8;+17:06:09.4;1.827455;-1.436e-16;6.38;1.04e+31;
2198;J1923+2515;19:23:22.4;+25:15:40.6;263.980714;-6.564e-16;0.99;6.84e+33;
2199;J1924+1628;19:24;+16:28;2.666027;*;30.00;*;
2200;J1924+1631;19:24:54.8;+16:31:48.8;0.340694;-4.227e-14;28.35;5.69e+32;
2201;J1924+1639;19:24:03.1;+16:39:40.7;6.327395;-1.026e-13;9.13;2.56e+34;
2202;J1924+17;19:24;+17:00;1.318513;*;30.00;*;
2203;B1922+20;19:24:40;+20:40:03;4.205389;-3.696e-14;10.75;6.14e+33;
2204;J1925-16;19:25:06;-16:01:00;0.257347;*;7.00;*;
2205;J1925+1721;19:25;+17:21;13.217024;*;9.61;*;
2206;J1925+19;19:25:26;+19:04;0.521825;*;16.42;*;
2207;B1923+04;19:26:24.4;+04:31:31.6;0.931031;-2.131e-15;3.95;7.83e+31;
2208;J1926+0737;19:26:33.7;+07:37:07.2;3.144041;-3.707e-15;5.61;4.60e+32;
2209;J1926-1314;19:26:53.8;-13:14:03.8;0.205580;-1.540e-15;2.09;1.25e+31;
2210;B1924+14;19:26:57.2;+14:34:55.3;0.754761;-1.250e-16;8.02;3.73e+30;
2211;J1926+1613;19:26;+16:13;3.243594;*;1.70;*;
2212;B1924+16;19:26:45.3;+16:48:32.7;1.724665;-5.352e-14;6.00;3.64e+33;
2213;B1924+19;19:26:22.8;+19:28:11.7;0.742935;-7.893e-16;30.00;2.31e+31;
2214;J1926+2016;19:26:18.0;+20:16:01.1;3.343679;-3.914e-14;11.85;5.17e+33;
2215;J1927+0911;19:27:25.6;+09:11:05.7;3.444650;-7.540e-16;7.19;1.03e+32;
2216;B1925+18;19:27:10.4;+18:52:08.5;2.071396;-4.977e-16;10.28;4.07e+31;
2217;B1925+188;19:27:24.9;+18:56:36.8;3.352178;-2.520e-14;4.81;3.34e+33;
2218;B1925+22;19:27:08.0;+22:34:57.3;0.698780;-3.765e-16;9.30;1.04e+31;
2219;J1928+15;19:28:20;+15:13;2.481390;*;9.87;*;
2220;J1928+1746;19:28:42.5;+17:46:29.6;14.549601;-2.792e-12;8.12;1.60e+36;
2221;J1928+1923;19:28:05.1;+19:23:31.3;1.223496;-9.505e-15;30.00;4.59e+32;
2222;J1929+00;19:29:28;+00:26;0.856971;*;1.74;*;
2223;J1929+16;19:29:18;+16:21;1.887929;*;0.63;*;
2224;B1926+18;19:29:16.7;+18:44:59.5;0.819356;-1.584e-15;5.34;5.12e+31;
2225;J1929+19;19:29:32;+19:05;2.947979;*;30.00;*;
2226;J1929+1955;19:29:17.5;+19:55:07.9;3.878495;-3.844e-14;12.08;5.89e+33;
2227;J1929+2121;19:29:04.2;+21:21:22.6;1.381982;-4.084e-15;3.36;2.23e+32;
2228;J1929+62;19:29;+62:16;0.686811;*;5.24;*;
2229;B1927+13;19:30:00.9;+13:16:11.1;1.315734;-6.338e-15;8.28;3.29e+32;
2230;J1930+14;19:30;+14:00;2.349017;*;8.85;*;
2231;J1930+17;19:30:44;+17:25;0.621238;*;9.20;*;
2232;J1930-1852;19:30:29.7;-18:51:46.2;5.390250;-5.230e-16;2.34;1.11e+32;
2233;J1930+1852;19:30:30.1;+18:52:14.1;7.307001;-4.007e-11;7.00;1.16e+37;
2234;J1931+1440;19:31;+14:40;0.562041;*;10.31;*;
2235;B1929+15;19:31:55.7;+15:36:57.5;3.181113;-5.075e-14;6.41;6.37e+33;
2236;J1931+1952;19:31:55.8;+19:52:11.5;1.995518;-4.014e-16;22.62;3.16e+31;
2237;J1931+30;19:31:28;+30:35;1.717841;*;3.03;*;
2238;B1929+10;19:32:13.9;+10:59:32.4;4.414667;-2.256e-14;0.31;3.93e+33;
2239;J1932+17;19:32;+17:00;23.912004;*;2.70;*;
2240;J1932+1916;19:32:19.7;+19:16:39;4.802730;-2.149e-12;*;4.07e+35;
2241;B1929+20;19:32:08.0;+20:20:46.4;3.728319;-5.862e-14;5.00;8.63e+33;
2242;B1930+22;19:32:22.7;+22:20:51.5;6.921864;-2.758e-12;10.90;7.54e+35;
2243;J1932-3655;19:32:06.1;-36:55:02.1;1.750025;-8.698e-16;4.41;6.01e+31;
2244;J1933+0758;19:33:19.4;+07:58:07.0;2.285953;-1.141e-15;8.33;1.03e+32;
2245;B1930+13;19:33:22.5;+13:04:49.9;1.077210;-3.692e-16;8.10;1.57e+31;
2246;J1933+1726;19:33;+17:26;46.490005;*;7.41;*;
2247;B1931+24;19:33:37.8;+24:36:39.6;1.228969;-1.225e-14;5.52;5.94e+32;
2248;J1933-6211;19:33:32.4;-62:11:46.8;282.212318;-2.947e-16;0.63;3.28e+33;
2249;J1934+19;19:34;+19:00;4.329192;*;4.74;*;
2250;J1934+2352;19:34:46.1;+23:52:55.9;5.604391;-4.105e-12;23.98;9.08e+35;
2251;J1935+12;19:35:15;+12:03;0.515490;*;9.81;*;
2252;B1933+16;19:35:47.8;+16:16:39.9;2.787546;-4.664e-14;3.70;5.13e+33;
2253;J1935+1726;19:35:03.9;+17:26:28.4;238.089468;*;3.11;*;
2254;B1933+17;19:35:29.9;+17:45:12.2;1.528098;-8.827e-16;9.57;5.32e+31;
2255;J1935+2025;19:35:41.9;+20:25:40.1;12.481569;-9.465e-12;8.64;4.66e+36;
2256;J1935+2154;19:34:55.6;+21:53:48.2;0.308168;*;*;*;
2257;J1935+52;19:35;+52:12;1.759365;*;6.84;*;
2258;B1933+15;19:36:01.5;+15:36:36.0;1.033764;-4.316e-15;8.41;1.76e+32;
2259;J1936+20;19:36;+20:00;0.718969;*;9.03;*;
2260;J1936+21;19:36:29;+21:12;1.555374;*;10.11;*;
2261;J1937-00;19:37:09;-00:17;4.164931;*;3.60;*;
2262;J1937+1505;19:37:16.3;+15:05:19;0.348096;-6.800e-16;14.07;9.34e+30;
2263;B1935+25;19:37:01.2;+25:44:13.6;4.975614;-1.592e-14;2.76;3.13e+33;
2264;J1937+2950;19:37:47.6;+29:50:01.8;0.603344;-1.267e-15;6.44;3.02e+31;
2265;J1938+0650;19:37:53.4;+06:50:06.0;0.891614;-4.515e-15;3.64;1.59e+32;
2266;J1938+2010;19:38:08.3;+20:10:51.7;1.455431;-7.200e-15;14.36;4.14e+32;
2267;J1938+2012;19:38;+20:12;380.228137;*;9.42;*;
2268;J1938+2213;19:38:14.1;+22:13:12.6;6.019905;-1.538e-12;4.54;3.66e+35;
2269;J1939+10;19:39:11;+10:45;0.432900;*;4.58;*;
2270;B1937+21;19:39:38.5;+21:34:59.1;641.928226;-4.331e-14;1.50;1.10e+36;
2271;B1937+24;19:39:05.5;+24:42:55.6;1.549661;-4.388e-14;7.34;2.68e+33;
2272;J1939+66;19:40;+66:12;44.922407;*;3.36;*;
2273;J1940+2246;19:40;+22:46;3.862644;*;8.82;*;
2274;J1940+2337;19:40:35.4;+23:37:46.5;1.828741;-2.568e-13;9.87;1.85e+34;
2275;J1940-2403;19:40:30;-24:03;0.539003;*;4.91;*;
2276;J1941+0121;19:41:16.0;+01:21:39.5;4.601563;-4.051e-15;2.89;7.36e+32;
2277;J1941+1026;19:41:32.3;+10:26:25.6;1.104492;-1.215e-15;8.60;5.30e+31;
2278;J1941+1341;19:41:04.8;+13:41:30.4;1.788640;-3.963e-15;8.55;2.80e+32;
2279;J1941+2525;19:41:20.8;+25:25:05.3;0.433623;-3.024e-14;15.35;5.18e+32;
2280;B1937-26;19:41:00.4;-26:02:05.7;2.482265;-5.891e-15;4.74;5.77e+32;
2281;J1941+43;19:42;+43:23;1.189220;*;5.91;*;
2282;B1939+17;19:42:01.0;+17:43:28.3;1.436241;-2.083e-16;9.83;1.18e+31;
2283;J1942+81;19:42;+81:06;4.912359;*;4.19;*;
2284;J1943+0609;19:43:29.1;+06:09:57.6;2.241015;-2.340e-15;3.89;2.07e+32;
2285;B1940-12;19:43:25.4;-12:37:42.4;1.028353;-1.751e-15;1.64;7.11e+31;
2286;J1943+2210;19:43:16.4;+22:10:23.1;196.688796;-3.400e-16;8.35;2.64e+33;
2287;J1944+0907;19:44:09.3;+09:07:23.0;192.856521;-6.371e-16;1.28;4.85e+33;
2288;J1944-10;19:44;-10:17;2.444181;*;1.76;*;
2289;B1941-17;19:44:05.2;-17:50:11;1.188838;-1.394e-15;5.30;6.54e+31;
2290;B1942+17;19:44:31.8;+17:55:42.4;0.500776;-1.831e-16;9.50;3.62e+30;
2291;J1944+2236;19:44:01.0;+22:36:22.6;276.396328;-5.700e-16;8.46;6.22e+33;
2292;B1942-00;19:45:28.3;-00:40:58.1;0.956359;-4.890e-16;3.53;1.85e+31;
2293;J1945+07;19:45:55;+07:17;0.931185;*;3.47;*;
2294;B1943+18;19:45:36.1;+18:34:20.1;0.935710;-2.119e-16;12.77;7.83e+30;
2295;J1946-1312;19:46:57.8;-13:12:36.4;2.033076;-8.211e-15;5.64;6.59e+32;
2296;B1944+17;19:46:53.0;+18:05:41.2;2.269537;-1.241e-16;0.30;1.11e+31;
2297;B1944+22;19:46:24.8;+22:44:59.4;0.749372;-4.992e-16;7.09;1.48e+31;
2298;J1946+24;19:46:00;+23:58;0.211461;*;4.84;*;
2299;J1946+2535;19:46:49.1;+25:35:51.5;1.941118;-2.125e-14;9.58;1.63e+33;
2300;J1946+2611;19:46:45.8;+26:11:49.2;2.298532;-1.161e-13;7.78;1.05e+34;
2301;B1943-29;19:46:51.7;-29:13:47.1;1.042266;-1.617e-15;4.31;6.65e+31;
2302;J1946+3417;19:46:25.1;+34:17:14.6;315.443559;-3.682e-16;6.41;4.58e+33;
2303;J1946-5403;19:46:24;-54:02;369.003690;*;1.46;*;
2304;J1947+0915;19:47:46.2;+09:15:08.0;0.675336;-2.180e-16;5.80;5.81e+30;
2305;J1947+10;19:47:36;+10:44;0.900135;*;13.83;*;
2306;J1947+1957;19:47:19.4;+19:57:08.3;6.348862;-2.106e-14;9.51;5.28e+33;
2307;J1947-4215;19:47:06;-42:15;0.556152;*;2.97;*;
2308;J1947-43;19:47;*;5.526694;*;2.11;*;
2309;J1948+2551;19:48:17.5;+25:51:51.9;5.085776;-2.334e-13;11.85;4.69e+34;
2310;B1946+35;19:48:25.0;+35:40:11.0;1.394095;-1.372e-14;7.87;7.55e+32;
2311;J1949+2306;19:49:07.3;+23:06:55.5;0.757936;-7.072e-17;8.65;2.12e+30;
2312;B1946-25;19:49:25.4;-25:24:01;1.044259;-3.566e-15;1.34;1.47e+32;
2313;J1949+3106;19:49:29.6;+31:06:03.8;76.114024;-5.441e-16;7.78;1.63e+33;
2314;J1950+05;19:50:58;+05:35;2.193300;*;4.43;*;
2315;J1950+2414;19:50:45.0;+24:14:56.9;232.300149;-1.020e-15;7.29;9.35e+33;
2316;J1951+1123;19:51:08.2;+11:23:25.2;0.196306;-1.168e-16;1.66;9.05e+29;
2317;B1949+14;19:52:06.1;+14:07:29.4;3.636024;-1.694e-15;1.66;2.43e+32;
2318;J1952+2630;19:52:36.8;+26:30:28.0;48.233774;-9.939e-15;13.67;1.89e+34;
2319;B1951+32;19:52:58.2;+32:52:40.5;25.296479;-3.740e-12;3.00;3.74e+36;
2320;J1953+1149;19:53:47.4;+11:49:42.6;1.173860;-3.948e-15;12.53;1.83e+32;
2321;J1953+1846A;19:53:46;+18:46:42;204.582651;*;6.68;*;
2322;J1953+2732;19:53:07.8;+27:32:48.2;0.749645;-9.964e-16;7.86;2.95e+31;
2323;J1953+67;19:53;+67:02;116.748357;*;5.37;*;
2324;J1954+2836;19:54:19.1;+28:36:06;10.786433;-2.462e-12;*;1.05e+36;
2325;B1952+29;19:54:22.5;+29:23:17.2;2.343694;-9.396e-18;0.42;8.69e+29;
2326;J1954+43;19:55;+43:50;0.721001;*;12.57;*;
